question,example_answer,pred_answer,answer_exact_match,reasoning
"20 birds migrate on a seasonal basis from one lake to another, searching for food. If they fly from lake Jim to lake Disney in one season, which is 50 miles apart, then the next season they fly from lake Disney to lake London, 60 miles apart, calculate the combined distance all of the birds have traveled in the two seasons.",2200,The combined distance all of the birds have traveled in the two seasons is 50 miles + 60 miles = 110 miles.,False,"To find the combined distance all of the birds have traveled in the two seasons, we need to add the distance they traveled from lake Jim to lake Disney (50 miles) and the distance they traveled from lake Disney to lake London (60 miles)."
"Wendy went to the dentist for a cleaning, two fillings, and a tooth extraction. The dentist charges $70 for a cleaning and $120 for a filling. Wendy’s dentist bill was five times the cost of a filling. What did Wendy pay for the tooth extraction?",290,Wendy paid $150 for the tooth extraction.,False,"Let's denote the cost of a filling as x. Since Wendy's bill was five times the cost of a filling, her total bill can be represented as 5x. The dentist charges $70 for a cleaning and $120 for a filling, so the total cost of the cleaning and two fillings is 70 + 2*120 = 310. Therefore, we can set up the equation 310 + x + 5x = Wendy's total bill. By solving this equation, we can find the cost of the tooth extraction."
"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?",34,"Karen started with 20 pounds of water, 10 pounds of food, and 20 pounds of gear, totaling 50 pounds. Over six hours, she drinks 2 pounds of water per hour, which amounts to 12 pounds (2 pounds/hour * 6 hours). She also eats 1/3rd the weight of food per hour as water per hour, which is 2/3 pounds of food per hour. Over six hours, she consumes 4 pounds of food (2/3 pounds/hour * 6 hours). Therefore, after six hours, Karen is carrying 50 pounds - 12 pounds (water) - 4 pounds (food) = 34 pounds.",False,"To calculate the weight Karen is carrying after six hours, we need to consider the weight of water, food, and gear she started with, as well as the weight she consumes during the hike."
Rita is reading a five-chapter book with 95 pages. Each chapter has three pages more than the previous one. How many pages does the first chapter have?,13,"Solving the equation x + (x + 3) + (x + 6) + (x + 9) + (x + 12) = 95, we find that the first chapter has 17 pages.",False,"Let's denote the number of pages in the first chapter as x. The second chapter will have x + 3 pages, the third chapter will have x + 6 pages, the fourth chapter will have x + 9 pages, and the fifth chapter will have x + 12 pages. Since the total number of pages in the book is 95, we can set up the equation: x + (x + 3) + (x + 6) + (x + 9) + (x + 12) = 95."
Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects.  Trisha collects 4 dozen less than Benjamin.  How many dozen eggs do the three collect total?,26,"Benjamin collects 6 dozen eggs, Carla collects 18 dozen eggs, and Trisha collects 2 dozen eggs. Therefore, the total number of dozen eggs collected by the three is 6 + 18 + 2 = 26 dozen eggs.",False,"To find the total number of dozen eggs collected by Benjamin, Carla, and Trisha, we first need to calculate the number of eggs each person collects in dozens. We know that Benjamin collects 6 dozen eggs, Carla collects 3 times the number Benjamin collects (3 * 6 = 18 dozen), and Trisha collects 4 dozen less than Benjamin (6 - 4 = 2 dozen). Adding up the dozens collected by each person will give us the total number of dozen eggs collected by the three."
"Roy spends 2 hours on sports activities in school every day. He goes to school 5 days a week. If he missed 2 days within a week, how many hours did he spend on sports in school that week?",6,"Roy would have spent 2 hours/day * 5 days/week = 10 hours in school for sports activities. Since he missed 2 days, he missed 2 days * 2 hours/day = 4 hours. Therefore, he spent 10 hours - 4 hours = 6 hours on sports activities in school that week.",False,"To find out how many hours Roy spent on sports activities in school that week, we first calculate the total number of hours he would have spent if he attended school all 5 days. Then, we subtract the hours he missed on the 2 days from this total."
"Cameron is printing her thesis in the school library and has 400 A4 pieces of paper. If 40% of the papers did not print out up to her desired quality and she separated them as invalid, calculate the total number of valid documents.",240,60% of 400 papers is 0.60 * 400 = 240 valid documents.,False,"If 40% of the papers did not print out up to Cameron's desired quality, then 60% of the papers are valid. To find the total number of valid documents, we need to calculate 60% of the total number of papers."
Burt spent $2.00 on a packet of basil seeds and $8.00 on potting soil.  The packet of seeds yielded 20 basil plants.  He sells each basil plant for $5.00 at the local farmer's market.  What is the net profit from his basil plants?,90,"Total cost = Cost of seeds + Cost of soil = $2.00 + $8.00 = $10.00
Total revenue = Number of plants * Selling price per plant = 20 plants * $5.00 = $100.00
Net profit = Total revenue - Total cost = $100.00 - $10.00 = $90.00",False,"To find the net profit from Burt's basil plants, we need to calculate the total revenue generated from selling the basil plants and then subtract the total cost incurred to grow them."
Martha's cat catches 3 rats and 7 birds. Cara's cat catches 3 less than five times as many animals as Martha's cat. How many animals does Cara's cat catch?,47,47,True,"Let's first find out how many animals Martha's cat catches. Martha's cat catches 3 rats and 7 birds, which totals to 3 + 7 = 10 animals. Now, we need to find out how many animals Cara's cat catches. Cara's cat catches 3 less than five times as many animals as Martha's cat. Five times the number of animals Martha's cat catches is 5 * 10 = 50. Three less than 50 is 50 - 3 = 47. Therefore, Cara's cat catches 47 animals."
"Trey is raising money for a new bike that costs $112. He plans to spend the next two weeks selling bracelets for $1 each. On average, how many bracelets does he need to sell each day?",8,Trey needs to sell 8 bracelets each day on average.,False,"To find out how many bracelets Trey needs to sell each day on average, we first need to calculate the total number of bracelets he needs to sell in two weeks. Since the bike costs $112 and each bracelet is sold for $1, Trey needs to sell $112 worth of bracelets. Therefore, he needs to sell 112 bracelets in total. Since he has 14 days to sell these bracelets, we can divide 112 by 14 to find out how many bracelets he needs to sell each day on average."
