question,example_answer,pred_answer,answer_exact_match,reasoning
"20 birds migrate on a seasonal basis from one lake to another, searching for food. If they fly from lake Jim to lake Disney in one season, which is 50 miles apart, then the next season they fly from lake Disney to lake London, 60 miles apart, calculate the combined distance all of the birds have traveled in the two seasons.",2200,2200,True,"In the first season, the birds migrate from lake Jim to lake Disney, which is 50 miles apart. In the second season, they migrate from lake Disney to lake London, which is 60 miles apart. 

To find the total distance traveled by all the birds over the two seasons, we first calculate the distance for one migration:
- Season 1: 50 miles
- Season 2: 60 miles

The total distance for one bird over the two seasons is:
50 miles + 60 miles = 110 miles.

Since there are 20 birds, we multiply the total distance for one bird by the number of birds:
Total distance for all birds = 110 miles * 20 birds = 2200 miles."
"Wendy went to the dentist for a cleaning, two fillings, and a tooth extraction. The dentist charges $70 for a cleaning and $120 for a filling. Wendy’s dentist bill was five times the cost of a filling. What did Wendy pay for the tooth extraction?",290,290,True,"Wendy's dentist bill was five times the cost of a filling. The cost of a filling is $120, so the total bill is:
5 * $120 = $600.

Now, we can break down the total bill:
- Cost of cleaning: $70
- Cost of two fillings: 2 * $120 = $240

Now, we can find the total cost of the cleaning and fillings:
Total cost of cleaning and fillings = $70 + $240 = $310.

To find the cost of the tooth extraction, we subtract the total cost of the cleaning and fillings from the total bill:
Cost of tooth extraction = Total bill - Total cost of cleaning and fillings
Cost of tooth extraction = $600 - $310 = $290."
"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?",34,34,True,"Initially, Karen packs a total weight of:
- Water: 20 pounds
- Food: 10 pounds
- Gear: 20 pounds

Total initial weight = 20 + 10 + 20 = 50 pounds.

During her hike, she drinks 2 pounds of water per hour. After 6 hours, the total amount of water she drinks is:
2 pounds/hour * 6 hours = 12 pounds of water.

She also eats 1/3 of the weight of food per hour as water per hour. Since she drinks 2 pounds of water per hour, she eats:
(1/3) * 2 pounds = 2/3 pounds of food per hour.

After 6 hours, the total amount of food she eats is:
(2/3) pounds/hour * 6 hours = 4 pounds of food.

Now, we calculate the remaining weight:
- Remaining water: 20 pounds - 12 pounds = 8 pounds
- Remaining food: 10 pounds - 4 pounds = 6 pounds
- Gear remains the same: 20 pounds

Total weight after 6 hours = 8 (water) + 6 (food) + 20 (gear) = 34 pounds."
Rita is reading a five-chapter book with 95 pages. Each chapter has three pages more than the previous one. How many pages does the first chapter have?,13,13,True,"Let the number of pages in the first chapter be \( x \). Then, the number of pages in the subsequent chapters can be expressed as follows:

- First chapter: \( x \)
- Second chapter: \( x + 3 \)
- Third chapter: \( x + 6 \)
- Fourth chapter: \( x + 9 \)
- Fifth chapter: \( x + 12 \)

The total number of pages in the book is the sum of the pages in all five chapters, which equals 95 pages. Therefore, we can set up the equation:

\[
x + (x + 3) + (x + 6) + (x + 9) + (x + 12) = 95
\]

Simplifying this equation:

\[
5x + (3 + 6 + 9 + 12) = 95
\]
\[
5x + 30 = 95
\]
\[
5x = 95 - 30
\]
\[
5x = 65
\]
\[
x = 13
\]

Thus, the first chapter has 13 pages."
Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects.  Trisha collects 4 dozen less than Benjamin.  How many dozen eggs do the three collect total?,26,26,True,"Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects, which is 3 * 6 = 18 dozen eggs. Trisha collects 4 dozen less than Benjamin, so she collects 6 - 4 = 2 dozen eggs.

Now, we can find the total number of dozen eggs collected by all three:
- Benjamin: 6 dozen
- Carla: 18 dozen
- Trisha: 2 dozen

Total = 6 + 18 + 2 = 26 dozen eggs."
"Roy spends 2 hours on sports activities in school every day. He goes to school 5 days a week. If he missed 2 days within a week, how many hours did he spend on sports in school that week?",6,6,True,"Roy spends 2 hours on sports activities each day at school. He goes to school 5 days a week, but he missed 2 days. Therefore, he attended school for 5 - 2 = 3 days that week. 

To find the total hours he spent on sports activities, we multiply the number of days he attended by the hours spent each day:
3 days * 2 hours/day = 6 hours."
"Cameron is printing her thesis in the school library and has 400 A4 pieces of paper. If 40% of the papers did not print out up to her desired quality and she separated them as invalid, calculate the total number of valid documents.",240,240,True,"Cameron has a total of 400 A4 pieces of paper. If 40% of the papers did not print out to her desired quality, we first need to calculate how many papers that represents.

1. Calculate 40% of 400:
   - 40% of 400 = 0.40 * 400 = 160

This means 160 papers are invalid. 

2. To find the total number of valid documents, we subtract the number of invalid papers from the total number of papers:
   - Valid papers = Total papers - Invalid papers = 400 - 160 = 240

Thus, the total number of valid documents is 240."
Burt spent $2.00 on a packet of basil seeds and $8.00 on potting soil.  The packet of seeds yielded 20 basil plants.  He sells each basil plant for $5.00 at the local farmer's market.  What is the net profit from his basil plants?,90,90,True,"To calculate Burt's net profit from selling basil plants, we first need to determine his total expenses and total revenue.

1. **Total Expenses**:
   - Cost of basil seeds: $2.00
   - Cost of potting soil: $8.00
   - Total expenses = $2.00 + $8.00 = $10.00

2. **Total Revenue**:
   - Number of basil plants = 20
   - Selling price per basil plant = $5.00
   - Total revenue = 20 plants * $5.00/plant = $100.00

3. **Net Profit**:
   - Net profit = Total revenue - Total expenses
   - Net profit = $100.00 - $10.00 = $90.00

Thus, Burt's net profit from his basil plants is $90.00."
Martha's cat catches 3 rats and 7 birds. Cara's cat catches 3 less than five times as many animals as Martha's cat. How many animals does Cara's cat catch?,47,47,True,"Martha's cat catches a total of 3 rats and 7 birds, which sums up to 3 + 7 = 10 animals. 

Cara's cat catches 3 less than five times the number of animals caught by Martha's cat. First, we calculate five times the number of animals caught by Martha's cat:
5 * 10 = 50.

Now, we subtract 3 from this amount:
50 - 3 = 47.

Thus, Cara's cat catches 47 animals."
"Trey is raising money for a new bike that costs $112. He plans to spend the next two weeks selling bracelets for $1 each. On average, how many bracelets does he need to sell each day?",8,8,True,"Trey needs to raise a total of $112 for the bike. He plans to sell bracelets for $1 each, which means he needs to sell 112 bracelets in total to reach his goal. 

He has two weeks to sell these bracelets. Since there are 7 days in a week, two weeks consist of 14 days. 

To find out how many bracelets he needs to sell each day, we divide the total number of bracelets by the number of days:
112 bracelets / 14 days = 8 bracelets per day."
"Vanessa wants to buy a dress she saw at the mall, which costs $80, and she already has $20 in savings. Her parents give her $30 every week, but she also spends $10 each weekend at the arcades. How many weeks will she have to wait until she can gather enough money to buy the dress?",3,3,True,"Vanessa wants to buy a dress that costs $80. She currently has $20 in savings. To find out how much more money she needs, we subtract her current savings from the cost of the dress:

$80 (cost of the dress) - $20 (current savings) = $60 (amount needed).

Every week, Vanessa receives $30 from her parents but spends $10 at the arcades. Therefore, her net savings per week is:

$30 (money received) - $10 (money spent) = $20 (net savings per week).

Now, to find out how many weeks it will take for her to gather the remaining $60, we divide the amount needed by her net savings per week:

$60 (amount needed) / $20 (net savings per week) = 3 weeks."
