question,example_answer,pred_answer,answer_exact_match
"20 birds migrate on a seasonal basis from one lake to another, searching for food. If they fly from lake Jim to lake Disney in one season, which is 50 miles apart, then the next season they fly from lake Disney to lake London, 60 miles apart, calculate the combined distance all of the birds have traveled in the two seasons.",2200,"The total distance traveled by the birds in the two seasons can be calculated as follows:

1. Distance from lake Jim to lake Disney: 50 miles
2. Distance from lake Disney to lake London: 60 miles

Combined distance for one bird = 50 miles + 60 miles = 110 miles.

Since there are 20 birds, the total distance traveled by all birds = 20 birds * 110 miles = 2200 miles.

Therefore, the combined distance all of the birds have traveled in the two seasons is 2200 miles.",False
"Wendy went to the dentist for a cleaning, two fillings, and a tooth extraction. The dentist charges $70 for a cleaning and $120 for a filling. Wendy’s dentist bill was five times the cost of a filling. What did Wendy pay for the tooth extraction?",290,"Wendy's dentist bill for the cleaning and two fillings can be calculated as follows:

- Cost of cleaning: $70
- Cost of one filling: $120
- Cost of two fillings: 2 * $120 = $240

Total cost for cleaning and fillings: $70 + $240 = $310

According to the problem, Wendy's total bill was five times the cost of a filling. The cost of a filling is $120, so:

Total bill = 5 * $120 = $600

Now, we can find the cost of the tooth extraction by subtracting the cost of the cleaning and fillings from the total bill:

Cost of tooth extraction = Total bill - Cost of cleaning and fillings
Cost of tooth extraction = $600 - $310 = $290

Therefore, Wendy paid $290 for the tooth extraction.",False
"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?",34,"After six hours, Karen drinks 2 pounds of water per hour, totaling 12 pounds of water consumed (2 pounds/hour * 6 hours). She also eats 1/3 of the weight of water consumed per hour, which is 2/3 pounds of food per hour. Over six hours, she consumes 4 pounds of food (2/3 pounds/hour * 6 hours). 

Initially, she packed:
- Water: 20 pounds
- Food: 10 pounds
- Gear: 20 pounds

After six hours, the remaining weight is:
- Water: 20 - 12 = 8 pounds
- Food: 10 - 4 = 6 pounds
- Gear: 20 pounds (unchanged)

Total weight after six hours = 8 + 6 + 20 = 34 pounds.

Therefore, Karen is carrying 34 pounds after six hours.",False
Rita is reading a five-chapter book with 95 pages. Each chapter has three pages more than the previous one. How many pages does the first chapter have?,13,"Let the number of pages in the first chapter be \( x \). Then the number of pages in the subsequent chapters can be expressed as follows:

- First chapter: \( x \)
- Second chapter: \( x + 3 \)
- Third chapter: \( x + 6 \)
- Fourth chapter: \( x + 9 \)
- Fifth chapter: \( x + 12 \)

The total number of pages in the book is the sum of the pages in all chapters:

\[
x + (x + 3) + (x + 6) + (x + 9) + (x + 12) = 95
\]

Combining like terms, we get:

\[
5x + (3 + 6 + 9 + 12) = 95
\]

Calculating the sum of the constants:

\[
3 + 6 + 9 + 12 = 30
\]

So the equation simplifies to:

\[
5x + 30 = 95
\]

Subtracting 30 from both sides:

\[
5x = 65
\]

Dividing by 5:

\[
x = 13
\]

Thus, the first chapter has 13 pages.",False
Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects.  Trisha collects 4 dozen less than Benjamin.  How many dozen eggs do the three collect total?,26,"To find the total number of dozen eggs collected by Benjamin, Carla, and Trisha, we first calculate the number of eggs each person collects.

1. Benjamin collects 6 dozen eggs a day.
2. Carla collects 3 times the number of eggs that Benjamin collects:
   - Carla's collection = 3 * 6 dozen = 18 dozen eggs.
3. Trisha collects 4 dozen less than Benjamin:
   - Trisha's collection = 6 dozen - 4 dozen = 2 dozen eggs.

Now, we add the number of dozen eggs collected by each person:
- Total = Benjamin's collection + Carla's collection + Trisha's collection
- Total = 6 dozen + 18 dozen + 2 dozen = 26 dozen eggs.

Therefore, the three collect a total of 26 dozen eggs.",False
"Roy spends 2 hours on sports activities in school every day. He goes to school 5 days a week. If he missed 2 days within a week, how many hours did he spend on sports in school that week?",6,"Roy spends 2 hours on sports activities each day. If he goes to school 5 days a week and misses 2 days, he attends school for 3 days that week. Therefore, the total hours he spent on sports that week is 2 hours/day * 3 days = 6 hours.",False
"Cameron is printing her thesis in the school library and has 400 A4 pieces of paper. If 40% of the papers did not print out up to her desired quality and she separated them as invalid, calculate the total number of valid documents.",240,"To find the total number of valid documents, we first need to calculate how many papers did not print out to Cameron's desired quality. 

40% of 400 papers is calculated as follows:
0.40 * 400 = 160 papers.

Now, we subtract the invalid papers from the total number of papers:
400 - 160 = 240 valid papers.

Therefore, the total number of valid documents is 240.",False
Burt spent $2.00 on a packet of basil seeds and $8.00 on potting soil.  The packet of seeds yielded 20 basil plants.  He sells each basil plant for $5.00 at the local farmer's market.  What is the net profit from his basil plants?,90,"To calculate Burt's net profit from his basil plants, we first need to determine his total expenses and total revenue.

1. **Total Expenses**:
   - Cost of basil seeds: $2.00
   - Cost of potting soil: $8.00
   - Total Expenses = $2.00 + $8.00 = $10.00

2. **Total Revenue**:
   - Number of basil plants: 20
   - Selling price per basil plant: $5.00
   - Total Revenue = 20 plants * $5.00/plant = $100.00

3. **Net Profit**:
   - Net Profit = Total Revenue - Total Expenses
   - Net Profit = $100.00 - $10.00 = $90.00

Therefore, Burt's net profit from his basil plants is $90.00.",False
Martha's cat catches 3 rats and 7 birds. Cara's cat catches 3 less than five times as many animals as Martha's cat. How many animals does Cara's cat catch?,47,"Cara's cat catches 3 less than five times the number of animals caught by Martha's cat. Martha's cat catches 3 rats and 7 birds, which totals to 3 + 7 = 10 animals. 

Five times the number of animals caught by Martha's cat is 5 * 10 = 50. 

Now, subtracting 3 from this gives us 50 - 3 = 47. 

Therefore, Cara's cat catches 47 animals.",False
"Trey is raising money for a new bike that costs $112. He plans to spend the next two weeks selling bracelets for $1 each. On average, how many bracelets does he need to sell each day?",8,"Trey needs to raise $112 and he plans to sell bracelets for $1 each. Therefore, he needs to sell 112 bracelets in total. Since he has 14 days (2 weeks) to sell them, he needs to sell an average of 112 bracelets / 14 days = 8 bracelets per day.",False
