question,example_answer,pred_answer,answer_exact_match
"20 birds migrate on a seasonal basis from one lake to another, searching for food. If they fly from lake Jim to lake Disney in one season, which is 50 miles apart, then the next season they fly from lake Disney to lake London, 60 miles apart, calculate the combined distance all of the birds have traveled in the two seasons.",2200,The combined distance all of the birds have traveled in the two seasons is 110 miles.,False
"Wendy went to the dentist for a cleaning, two fillings, and a tooth extraction. The dentist charges $70 for a cleaning and $120 for a filling. Wendy’s dentist bill was five times the cost of a filling. What did Wendy pay for the tooth extraction?",290,Wendy paid $600 for the tooth extraction.,False
"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?",34,"After six hours, Karen is carrying 20 pounds of water, 6.67 pounds of food, and 20 pounds of gear. Therefore, she is carrying a total weight of 46.67 pounds.",False
Rita is reading a five-chapter book with 95 pages. Each chapter has three pages more than the previous one. How many pages does the first chapter have?,13,The first chapter has 17 pages.,False
Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects.  Trisha collects 4 dozen less than Benjamin.  How many dozen eggs do the three collect total?,26,"Benjamin collects 6 dozen eggs, Carla collects 18 dozen eggs, and Trisha collects 2 dozen eggs. Therefore, the three of them collect a total of 26 dozen eggs.",False
"Roy spends 2 hours on sports activities in school every day. He goes to school 5 days a week. If he missed 2 days within a week, how many hours did he spend on sports in school that week?",6,"Roy spends 2 hours on sports activities in school every day, so in a week he would spend 2 hours/day * 5 days/week = 10 hours. However, since he missed 2 days, he would have spent 10 hours - 2 hours/day * 2 days = 6 hours on sports activities in school that week.",False
"Cameron is printing her thesis in the school library and has 400 A4 pieces of paper. If 40% of the papers did not print out up to her desired quality and she separated them as invalid, calculate the total number of valid documents.",240,60% of 400 papers = 0.60 * 400 = 240 valid papers,False
Burt spent $2.00 on a packet of basil seeds and $8.00 on potting soil.  The packet of seeds yielded 20 basil plants.  He sells each basil plant for $5.00 at the local farmer's market.  What is the net profit from his basil plants?,90,"Burt's total revenue from selling basil plants is 20 plants * $5.00 = $100.00.
His total cost is $2.00 + $8.00 = $10.00.
Therefore, his net profit is $100.00 - $10.00 = $90.00.",False
Martha's cat catches 3 rats and 7 birds. Cara's cat catches 3 less than five times as many animals as Martha's cat. How many animals does Cara's cat catch?,47,Cara's cat catches 14 animals.,False
"Trey is raising money for a new bike that costs $112. He plans to spend the next two weeks selling bracelets for $1 each. On average, how many bracelets does he need to sell each day?",8,Trey needs to sell 8 bracelets each day on average in order to raise enough money for the new bike.,False
"Vanessa wants to buy a dress she saw at the mall, which costs $80, and she already has $20 in savings. Her parents give her $30 every week, but she also spends $10 each weekend at the arcades. How many weeks will she have to wait until she can gather enough money to buy the dress?",3,Vanessa will have to wait for 4 weeks to gather enough money to buy the dress.,False
"There are 30 students in the general study hall and twice as many students in the biology hall as there are in the general study hall. If the number of students in the math hall is 3/5 times as many as the combined total number of students in the general study hall and the biology hall combined,  calculate the total number of students in all the halls combined.",144,"Let x be the number of students in the general study hall. 
Number of students in the biology hall = 2x
Number of students in the math hall = 3/5 * (x + 2x) = 3/5 * 3x = 9/5x

Total number of students in all halls = x + 2x + 9/5x = 15/5x + 10/5x + 9/5x = 34/5x

Given that there are 30 students in the general study hall:
x = 30
Total number of students in all halls = 34/5 * 30 = 204

Therefore, the total number of students in all the halls combined is 204.",False
"Carlos and Diego are racing around the block. Carlos runs around the entire block in 3 minutes. Diego runs around half the block in 2.5 minutes and then is tripped by a dog and can't finish. Assuming he kept up the same speed the entire race, what would've been the average time in seconds for the racers?",240,"To find the average time for the racers, we can calculate the total distance they would have covered if they both completed the race. Since Diego ran half the block in 2.5 minutes, he would have taken 5 minutes to run the full block at the same speed. Therefore, the total time for both Carlos and Diego to run the block would be 5 minutes. The average time for the racers would be 5 minutes, which is equivalent to 300 seconds.",False
"A craft store makes a third of its sales in the fabric section, a quarter of its sales in the jewelry section, and the rest in the stationery section. They made 36 sales today. How many sales were in the stationery section?",15,The craft store made 15 sales in the stationery section today.,False
"Mark bought 2 pounds of tomatoes for $5 per pound and 5 pounds of apples, at $6 per pound. How much did he spend in total?",40,Mark spent a total of $40.,False
"There is 80 mg of caffeine in a cup of coffee. Lisa does not want to drink more than 200 mg of caffeine per day. If she drinks three cups of coffee, how many milligrams of coffee did Lisa drink over her goal?",40,Lisa drank 40 mg of caffeine over her goal.,False
