question,example_answer,pred_answer,answer_exact_match,rationale
"20 birds migrate on a seasonal basis from one lake to another, searching for food. If they fly from lake Jim to lake Disney in one season, which is 50 miles apart, then the next season they fly from lake Disney to lake London, 60 miles apart, calculate the combined distance all of the birds have traveled in the two seasons.",2200,2200 miles,False,"To find the combined distance all of the birds have traveled over the two seasons, we need to calculate the total distance for one bird first, and then multiply by the number of birds. In the first season, the distance is 50 miles, and in the second season, it is 60 miles. Therefore, the total distance for one bird over the two seasons is 50 miles + 60 miles = 110 miles. Since there are 20 birds, the combined distance traveled by all the birds is 20 birds × 110 miles = 2200 miles."
"Wendy went to the dentist for a cleaning, two fillings, and a tooth extraction. The dentist charges $70 for a cleaning and $120 for a filling. Wendy’s dentist bill was five times the cost of a filling. What did Wendy pay for the tooth extraction?",290,290,True,"To find out what Wendy paid for the tooth extraction, we first need to determine her total bill based on the information given. The cost of a cleaning is $70, and the cost of one filling is $120. Since she had two fillings, the cost for the fillings is \( 2 \times 120 = 240 \). Therefore, the total cost of the cleaning and fillings before the extraction is \( 70 + 240 = 310 \). 

The problem states that Wendy's dentist bill was five times the cost of a filling, which is \( 5 \times 120 = 600 \). This total bill of $600 must include the costs of the cleaning, the fillings, and the tooth extraction. 

Let \( E \) represent the cost of the tooth extraction. We set up the equation:
\[
310 + E = 600
\]
Solving for \( E \):
\[
E = 600 - 310 = 290
\]

Thus, Wendy paid $290 for the tooth extraction."
"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?",34,34 pounds,False,"To calculate how much weight Karen is carrying after six hours, we first determine how much water and food she consumes. Initially, she has 20 pounds of water, 10 pounds of food, and 20 pounds of gear, making her total initial weight 50 pounds. After six hours, she drinks 2 pounds of water per hour, totaling 12 pounds of water consumed. She also eats 1/3 of the weight of food per hour as water consumed, which is 2/3 pounds of food per hour (1/3 of 2 pounds). Over six hours, she eats a total of 4 pounds of food (2/3 * 6). Therefore, the total weight lost is 12 pounds (water) + 4 pounds (food) = 16 pounds. 

So, her weight after six hours will be 50 pounds - 16 pounds = 34 pounds."
Rita is reading a five-chapter book with 95 pages. Each chapter has three pages more than the previous one. How many pages does the first chapter have?,13,The first chapter has 13 pages.,False,"To find out how many pages the first chapter has, we can set up an equation based on the information provided. Let \( x \) be the number of pages in the first chapter. Then the number of pages in each subsequent chapter can be expressed as follows:

- First chapter: \( x \)
- Second chapter: \( x + 3 \)
- Third chapter: \( x + 6 \)
- Fourth chapter: \( x + 9 \)
- Fifth chapter: \( x + 12 \)

Adding these together gives us the total number of pages in the book:

\[
x + (x + 3) + (x + 6) + (x + 9) + (x + 12) = 95
\]

Simplifying this equation:

\[
5x + 30 = 95
\]

Subtracting 30 from both sides:

\[
5x = 65
\]

Dividing by 5:

\[
x = 13
\]

Thus, the first chapter has 13 pages."
Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects.  Trisha collects 4 dozen less than Benjamin.  How many dozen eggs do the three collect total?,26,26 dozen eggs,False,"The calculations for each person's egg collection are correct. Benjamin collects 6 dozen eggs, Carla collects 18 dozen eggs (3 times Benjamin's collection), and Trisha collects 2 dozen eggs (4 dozen less than Benjamin). Therefore, the total is 6 + 18 + 2 = 26 dozen eggs."
"Roy spends 2 hours on sports activities in school every day. He goes to school 5 days a week. If he missed 2 days within a week, how many hours did he spend on sports in school that week?",6,Roy spent 6 hours on sports in school that week.,False,"All reasoning attempts correctly follow the steps to calculate the total hours Roy spent on sports activities. They recognize that he spends 2 hours each day and attends school 5 days a week, leading to a potential total of 10 hours if no days were missed. Since he missed 2 days, he attended school for 3 days, resulting in a calculation of 2 hours x 3 days = 6 hours. Therefore, the correct answer is consistently derived across all attempts."
"Cameron is printing her thesis in the school library and has 400 A4 pieces of paper. If 40% of the papers did not print out up to her desired quality and she separated them as invalid, calculate the total number of valid documents.",240,240,True,"To find the total number of valid documents, we first calculate the number of invalid papers. Since 40% of the 400 A4 papers are invalid, we can calculate the number of invalid papers as follows: 0.40 * 400 = 160. Therefore, the number of valid papers is the total papers minus the invalid ones: 400 - 160 = 240. The correct number of valid documents is 240."
Burt spent $2.00 on a packet of basil seeds and $8.00 on potting soil.  The packet of seeds yielded 20 basil plants.  He sells each basil plant for $5.00 at the local farmer's market.  What is the net profit from his basil plants?,90,$90.00,False,"To calculate Burt's net profit, we first need to find his total costs and total revenue. Burt spent $2.00 on basil seeds and $8.00 on potting soil, giving him total costs of $2.00 + $8.00 = $10.00. He grew 20 basil plants and sells each for $5.00, generating a total revenue of 20 plants * $5.00/plant = $100.00. The net profit is then calculated as total revenue minus total costs: $100.00 - $10.00 = $90.00."
Martha's cat catches 3 rats and 7 birds. Cara's cat catches 3 less than five times as many animals as Martha's cat. How many animals does Cara's cat catch?,47,47,True,"To solve the problem, we first calculate how many animals Martha's cat has caught. Martha's cat catches 3 rats and 7 birds, which totals to 3 + 7 = 10 animals. Cara's cat catches 3 less than five times the number of animals caught by Martha's cat. So, five times the number of animals caught by Martha's cat is 5 * 10 = 50. Therefore, 3 less than that is 50 - 3 = 47. Thus, Cara's cat catches 47 animals."
"Trey is raising money for a new bike that costs $112. He plans to spend the next two weeks selling bracelets for $1 each. On average, how many bracelets does he need to sell each day?",8,Trey needs to sell 8 bracelets each day.,False,"To find out how many bracelets Trey needs to sell each day, we correctly established that he needs to sell a total of 112 bracelets over 14 days (2 weeks). Dividing the total number of bracelets (112) by the number of days (14) gives us 8. Therefore, Trey needs to sell 8 bracelets each day to reach his goal."
