question,example_answer,pred_answer,answer_exact_match,rationale
"20 birds migrate on a seasonal basis from one lake to another, searching for food. If they fly from lake Jim to lake Disney in one season, which is 50 miles apart, then the next season they fly from lake Disney to lake London, 60 miles apart, calculate the combined distance all of the birds have traveled in the two seasons.",2200,2200,True,"The birds migrate from lake Jim to lake Disney, which is 50 miles in the first season. In the second season, they fly from lake Disney to lake London, which is 60 miles. Therefore, the total distance traveled by one bird over the two seasons is 50 miles + 60 miles = 110 miles. Since there are 20 birds, we multiply the distance traveled by one bird by the number of birds: 110 miles * 20 birds = 2200 miles."
"Wendy went to the dentist for a cleaning, two fillings, and a tooth extraction. The dentist charges $70 for a cleaning and $120 for a filling. Wendy’s dentist bill was five times the cost of a filling. What did Wendy pay for the tooth extraction?",290,290,True,"Wendy's dentist charges $70 for a cleaning and $120 for each filling. She had two fillings, which costs 2 * $120 = $240. The total charge for the cleaning and fillings together is $70 + $240 = $310. Since Wendy’s dentist bill was five times the cost of a filling, we know her total bill is $120 * 5 = $600. To find the cost of the tooth extraction, we subtract the total of the cleaning and fillings from the total bill: $600 - $310 = $290. Therefore, Wendy paid $290 for the tooth extraction."
"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?",34,34,True,"Karen packs a total of 20 pounds of water, 10 pounds of food, and 20 pounds of gear, which sums to 50 pounds initially. Over the course of six hours, she drinks 2 pounds of water per hour, totaling 12 pounds of water consumed (2 pounds/hour * 6 hours). She also eats 1/3 of the weight of water consumed per hour as food, which amounts to 4 pounds of food consumed over the six hours (12 pounds of water * 1/3). Therefore, after six hours, her remaining weight is calculated as follows: 50 pounds (initial weight) - 12 pounds (water consumed) - 4 pounds (food consumed) = 34 pounds."
Rita is reading a five-chapter book with 95 pages. Each chapter has three pages more than the previous one. How many pages does the first chapter have?,13,13,True,"Let the number of pages in the first chapter be \( x \). The subsequent chapters will then have \( x + 3 \), \( x + 6 \), \( x + 9 \), and \( x + 12 \) pages, respectively. The total number of pages in all five chapters can be expressed as:  
\[ x + (x + 3) + (x + 6) + (x + 9) + (x + 12) = 95 \]  
This simplifies to:  
\[ 5x + 30 = 95 \]  
Solving for \( x \):  
\[ 5x = 95 - 30 \]  
\[ 5x = 65 \]  
\[ x = 13 \]  
Thus, the first chapter has 13 pages."
Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects.  Trisha collects 4 dozen less than Benjamin.  How many dozen eggs do the three collect total?,26,26,True,"Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects, which is 3 * 6 = 18 dozen eggs. Trisha collects 4 dozen less than Benjamin, which is 6 - 4 = 2 dozen eggs. To find the total number of eggs collected by the three, we sum their collections: 6 (Benjamin) + 18 (Carla) + 2 (Trisha) = 26 dozen eggs."
"Roy spends 2 hours on sports activities in school every day. He goes to school 5 days a week. If he missed 2 days within a week, how many hours did he spend on sports in school that week?",6,6,True,"Roy spends 2 hours on sports activities each day he attends school. He goes to school for 5 days a week but missed 2 days, which means he attended school for 3 days that week. To find the total hours he spent on sports in school, we multiply the number of days he attended (3) by the hours spent each day (2): 3 days × 2 hours/day = 6 hours."
"Cameron is printing her thesis in the school library and has 400 A4 pieces of paper. If 40% of the papers did not print out up to her desired quality and she separated them as invalid, calculate the total number of valid documents.",240,240,True,"Cameron has a total of 400 A4 pieces of paper. If 40% of these papers did not print out to her desired quality, we first need to calculate the number of invalid papers. 40% of 400 is 0.40 * 400 = 160 invalid papers. To find the total number of valid documents, we subtract the invalid papers from the total: 400 - 160 = 240 valid papers."
Burt spent $2.00 on a packet of basil seeds and $8.00 on potting soil.  The packet of seeds yielded 20 basil plants.  He sells each basil plant for $5.00 at the local farmer's market.  What is the net profit from his basil plants?,90,90,True,"Burt's total costs for the basil seeds and potting soil are $2.00 + $8.00 = $10.00. He yields 20 basil plants from the seeds and sells each plant for $5.00, resulting in total revenue of 20 plants * $5.00/plant = $100. To find the net profit, we subtract the total costs from the total revenue: $100 - $10 = $90."
Martha's cat catches 3 rats and 7 birds. Cara's cat catches 3 less than five times as many animals as Martha's cat. How many animals does Cara's cat catch?,47,47,True,"Martha's cat catches a total of 3 rats and 7 birds, which sums up to 3 + 7 = 10 animals. Cara's cat catches 3 less than five times the number of animals caught by Martha's cat. First, we calculate five times the number of animals caught by Martha's cat: 5 * 10 = 50. Then, we subtract 3 from this amount: 50 - 3 = 47. Therefore, Cara's cat catches 47 animals."
"Trey is raising money for a new bike that costs $112. He plans to spend the next two weeks selling bracelets for $1 each. On average, how many bracelets does he need to sell each day?",8,8,True,"Trey needs to raise a total of $112 for the bike, selling bracelets for $1 each, which means he needs to sell 112 bracelets in total. He has two weeks to sell them, which is equivalent to 14 days. To find out how many bracelets he needs to sell each day, we divide the total number of bracelets (112) by the number of days (14): 112 / 14 = 8 bracelets per day."
