question,example_answer,pred_answer,answer_exact_match,reasoning
"20 birds migrate on a seasonal basis from one lake to another, searching for food. If they fly from lake Jim to lake Disney in one season, which is 50 miles apart, then the next season they fly from lake Disney to lake London, 60 miles apart, calculate the combined distance all of the birds have traveled in the two seasons.",2200,The combined distance all of the birds have traveled in the two seasons is 2200 miles.,False,"To calculate the combined distance all of the birds have traveled in the two seasons, we first need to determine the distance traveled in each season. 

In the first season, the birds fly from lake Jim to lake Disney, which is 50 miles. In the second season, they fly from lake Disney to lake London, which is 60 miles. 

Now, we can calculate the total distance for one bird:
- First season: 50 miles
- Second season: 60 miles

Total distance for one bird = 50 miles + 60 miles = 110 miles.

Since there are 20 birds, we multiply the total distance for one bird by the number of birds:
Total distance for all birds = 110 miles * 20 birds = 2200 miles."
"Wendy went to the dentist for a cleaning, two fillings, and a tooth extraction. The dentist charges $70 for a cleaning and $120 for a filling. Wendy’s dentist bill was five times the cost of a filling. What did Wendy pay for the tooth extraction?",290,Wendy paid $290 for the tooth extraction.,False,"Let's denote the cost of a cleaning as \( C = 70 \) dollars, the cost of a filling as \( F = 120 \) dollars, and the cost of a tooth extraction as \( E \). Wendy had one cleaning, two fillings, and one tooth extraction. The total cost of the fillings is \( 2F = 2 \times 120 = 240 \) dollars. Therefore, the total cost of the dental services before considering the extraction is:

\[
\text{Total cost} = C + 2F + E = 70 + 240 + E
\]

According to the problem, Wendy's total bill was five times the cost of a filling:

\[
\text{Total bill} = 5F = 5 \times 120 = 600 \text{ dollars}
\]

Setting the two expressions for total cost equal gives us:

\[
70 + 240 + E = 600
\]

Now, we can simplify this equation:

\[
310 + E = 600
\]

To find \( E \), we subtract 310 from both sides:

\[
E = 600 - 310 = 290
\]

Thus, Wendy paid 290 dollars for the tooth extraction."
"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?",34,34 pounds,False,"Initially, Karen packs a total of 20 pounds of water, 10 pounds of food, and 20 pounds of gear. This gives her a starting weight of:

20 pounds (water) + 10 pounds (food) + 20 pounds (gear) = 50 pounds.

During her hike, she drinks 2 pounds of water per hour. After 6 hours, the total amount of water she has consumed is:

2 pounds/hour * 6 hours = 12 pounds of water.

She also eats 1/3 of the weight of food per hour as water per hour. Since she drinks 2 pounds of water per hour, she eats:

(1/3) * 2 pounds/hour = 2/3 pounds of food per hour.

After 6 hours, the total amount of food she has consumed is:

(2/3 pounds/hour) * 6 hours = 4 pounds of food.

Now, we can calculate the remaining weight of water, food, and gear after 6 hours:

Remaining water = 20 pounds (initial) - 12 pounds (consumed) = 8 pounds.
Remaining food = 10 pounds (initial) - 4 pounds (consumed) = 6 pounds.
Remaining gear = 20 pounds (unchanged).

Now, we can find the total weight she is carrying after 6 hours:

Remaining weight = 8 pounds (water) + 6 pounds (food) + 20 pounds (gear) = 34 pounds."
Rita is reading a five-chapter book with 95 pages. Each chapter has three pages more than the previous one. How many pages does the first chapter have?,13,The first chapter has 13 pages.,False,"Let the number of pages in the first chapter be \( x \). Then, the number of pages in the subsequent chapters can be expressed as follows:
- First chapter: \( x \)
- Second chapter: \( x + 3 \)
- Third chapter: \( x + 6 \)
- Fourth chapter: \( x + 9 \)
- Fifth chapter: \( x + 12 \)

The total number of pages in the book is the sum of the pages in all five chapters:
\[
x + (x + 3) + (x + 6) + (x + 9) + (x + 12) = 95
\]

Combining like terms, we have:
\[
5x + (3 + 6 + 9 + 12) = 95
\]
\[
5x + 30 = 95
\]

Now, we can solve for \( x \):
\[
5x = 95 - 30
\]
\[
5x = 65
\]
\[
x = \frac{65}{5} = 13
\]

Thus, the first chapter has 13 pages."
Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects.  Trisha collects 4 dozen less than Benjamin.  How many dozen eggs do the three collect total?,26,The three collect a total of 26 dozen eggs.,False,"First, we need to determine how many eggs each person collects in dozens. 

Benjamin collects 6 dozen eggs a day. 
Carla collects 3 times the number of eggs that Benjamin collects, which is:
3 * 6 = 18 dozen eggs.

Trisha collects 4 dozen less than Benjamin, which is:
6 - 4 = 2 dozen eggs.

Now, we can find the total number of dozen eggs collected by all three:
Benjamin's 6 dozen + Carla's 18 dozen + Trisha's 2 dozen = 6 + 18 + 2 = 26 dozen eggs."
"Roy spends 2 hours on sports activities in school every day. He goes to school 5 days a week. If he missed 2 days within a week, how many hours did he spend on sports in school that week?",6,Roy spent 6 hours on sports in school that week.,False,"Roy spends 2 hours on sports activities each day at school. He attends school 5 days a week, which means he would normally spend 2 hours/day * 5 days = 10 hours on sports activities in a week. However, since he missed 2 days, he only attended school for 5 - 2 = 3 days that week. Therefore, the total hours he spent on sports that week is 2 hours/day * 3 days = 6 hours."
"Cameron is printing her thesis in the school library and has 400 A4 pieces of paper. If 40% of the papers did not print out up to her desired quality and she separated them as invalid, calculate the total number of valid documents.",240,240,True,"To find the total number of valid documents, we first need to calculate how many papers did not print out to Cameron's desired quality. Since 40% of the 400 A4 pieces of paper are invalid, we can calculate the number of invalid papers as follows:

Invalid papers = 40% of 400 = 0.40 * 400 = 160 papers.

Next, we subtract the number of invalid papers from the total number of papers to find the number of valid documents:

Valid papers = Total papers - Invalid papers = 400 - 160 = 240 papers.

Thus, the total number of valid documents is 240."
Burt spent $2.00 on a packet of basil seeds and $8.00 on potting soil.  The packet of seeds yielded 20 basil plants.  He sells each basil plant for $5.00 at the local farmer's market.  What is the net profit from his basil plants?,90,$90.00,False,"To calculate the net profit from Burt's basil plants, we first need to determine his total expenses and total revenue. 

1. **Total Expenses**: 
   - Cost of basil seeds: $2.00
   - Cost of potting soil: $8.00
   - Total expenses = $2.00 + $8.00 = $10.00

2. **Total Revenue**: 
   - Number of basil plants = 20
   - Selling price per basil plant = $5.00
   - Total revenue = 20 plants * $5.00/plant = $100.00

3. **Net Profit**: 
   - Net profit = Total revenue - Total expenses
   - Net profit = $100.00 - $10.00 = $90.00

Thus, Burt's net profit from selling the basil plants is $90.00."
Martha's cat catches 3 rats and 7 birds. Cara's cat catches 3 less than five times as many animals as Martha's cat. How many animals does Cara's cat catch?,47,47,True,"First, we need to determine how many animals Martha's cat catches. Martha's cat catches 3 rats and 7 birds, so we add these two numbers together: 

3 (rats) + 7 (birds) = 10 animals.

Next, we need to find out how many animals Cara's cat catches. According to the problem, Cara's cat catches 3 less than five times as many animals as Martha's cat. 

First, we calculate five times the number of animals Martha's cat catches:

5 * 10 = 50.

Now, we subtract 3 from this result to find out how many animals Cara's cat catches:

50 - 3 = 47.

Thus, Cara's cat catches 47 animals."
"Trey is raising money for a new bike that costs $112. He plans to spend the next two weeks selling bracelets for $1 each. On average, how many bracelets does he need to sell each day?",8,Trey needs to sell 8 bracelets each day.,False,"Trey needs to raise a total of $112 to buy the bike. He plans to sell bracelets for $1 each, which means he needs to sell 112 bracelets in total to reach his goal. He has two weeks to do this, which is equivalent to 14 days. To find out how many bracelets he needs to sell each day, we divide the total number of bracelets by the number of days: 

112 bracelets ÷ 14 days = 8 bracelets per day."
