question,example_answer,pred_answer,answer_exact_match,rationale
"20 birds migrate on a seasonal basis from one lake to another, searching for food. If they fly from lake Jim to lake Disney in one season, which is 50 miles apart, then the next season they fly from lake Disney to lake London, 60 miles apart, calculate the combined distance all of the birds have traveled in the two seasons.",2200,110,False,"To find the combined distance all the birds have traveled in the two seasons, we need to add the distances covered in each season. The birds traveled 50 miles from lake Jim to lake Disney in one season and then 60 miles from lake Disney to lake London in the next season. Therefore, the total combined distance traveled by all 20 birds in the two seasons is 50 miles + 60 miles = 110 miles."
"Wendy went to the dentist for a cleaning, two fillings, and a tooth extraction. The dentist charges $70 for a cleaning and $120 for a filling. Wendy’s dentist bill was five times the cost of a filling. What did Wendy pay for the tooth extraction?",290,290,True,"Given that Wendy's dentist bill was five times the cost of a filling, and each filling costs $120, the total bill is 5 * $120 = $600. The bill includes the cost of a cleaning ($70), two fillings ($120 each), and the tooth extraction. Therefore, the total cost of the cleaning and fillings is $70 + 2 * $120 = $310. To find the cost of the tooth extraction, we subtract the cost of the cleaning and fillings from the total bill: $600 - $310 = $290."
"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?",34,34,True,"To calculate the weight Karen is carrying after six hours, we need to consider the weight she started with and subtract the weight of water and food she consumes during the hike. 
Karen started with 20 pounds of water, 10 pounds of food, and 20 pounds of gear, totaling 50 pounds. After six hours, she would have consumed 6 hours * 2 pounds/hour = 12 pounds of water and 6 hours * (1/3) * 2 pounds/hour = 4 pounds of food.
Therefore, the weight she is carrying after six hours is 50 pounds (start weight) - 12 pounds (water consumed) - 4 pounds (food consumed) = 34 pounds."
Rita is reading a five-chapter book with 95 pages. Each chapter has three pages more than the previous one. How many pages does the first chapter have?,13,13,True,"The correct approach to solving this problem is to consider the arithmetic progression of the number of pages in each chapter. Letting x be the number of pages in the first chapter, the total number of pages can be expressed as the sum of an arithmetic progression: x + (x + 3) + (x + 6) + (x + 9) + (x + 12) = 95. Simplifying this equation gives 5x + 30 = 95, which leads to x = 13. Therefore, the first chapter has 13 pages."
Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects.  Trisha collects 4 dozen less than Benjamin.  How many dozen eggs do the three collect total?,26,26,True,"To find the total number of dozens of eggs collected by Benjamin, Carla, and Trisha, we need to calculate the number of dozens each person collects:
- Benjamin collects 6 dozen eggs a day.
- Carla collects 3 times the number of eggs Benjamin collects, which is 3 * 6 = 18 dozen eggs.
- Trisha collects 4 dozen less than Benjamin, which is 6 - 4 = 2 dozen eggs.

Therefore, the total number of dozens of eggs collected by the three of them is 6 + 18 + 2 = 26 dozen eggs."
"Roy spends 2 hours on sports activities in school every day. He goes to school 5 days a week. If he missed 2 days within a week, how many hours did he spend on sports in school that week?",6,6,True,"The correct calculation is as follows: 
Roy spends 2 hours on sports activities in school every day, which amounts to 2 hours/day * 5 days = 10 hours in school for sports activities in a regular week. If he missed 2 days within a week, he would have participated in sports for 5 days - 2 days = 3 days that week. Therefore, he spent 2 hours/day * 3 days = 6 hours on sports in school that week."
"Cameron is printing her thesis in the school library and has 400 A4 pieces of paper. If 40% of the papers did not print out up to her desired quality and she separated them as invalid, calculate the total number of valid documents.",240,240,True,"To calculate the total number of valid documents, we need to consider that 40% of the papers did not print out to Cameron's desired quality, which means that 60% of the papers did print out at the desired quality. Therefore, the total number of valid documents is 60% of the total number of papers (400 papers), which is 0.60 * 400 = 240 valid documents."
Burt spent $2.00 on a packet of basil seeds and $8.00 on potting soil.  The packet of seeds yielded 20 basil plants.  He sells each basil plant for $5.00 at the local farmer's market.  What is the net profit from his basil plants?,90,90,True,"To calculate the net profit from Burt's basil plants, we first need to calculate the total cost incurred, which is the cost of the seeds and potting soil: $2.00 (seeds) + $8.00 (soil) = $10.00. 
Next, we calculate the total revenue from selling the basil plants: 20 basil plants * $5.00 per plant = $100.00. 
Finally, we calculate the net profit by subtracting the total cost from the total revenue: $100.00 (revenue) - $10.00 (cost) = $90.00."
Martha's cat catches 3 rats and 7 birds. Cara's cat catches 3 less than five times as many animals as Martha's cat. How many animals does Cara's cat catch?,47,47,True,"Martha's cat catches a total of 3 + 7 = 10 animals.
To find the number of animals Cara's cat catches, we need to calculate 5 times the number of animals Martha's cat catches, which is 5 * 10 = 50 animals. Then, we subtract 3 from this to find out how many animals Cara's cat catches, which is 50 - 3 = 47 animals."
"Trey is raising money for a new bike that costs $112. He plans to spend the next two weeks selling bracelets for $1 each. On average, how many bracelets does he need to sell each day?",8,8,True,"To calculate the average number of bracelets Trey needs to sell each day over the next two weeks, we first determine the total number of bracelets he needs to sell, which is the cost of the bike divided by the price of each bracelet: $112 / $1 = 112 bracelets. Since there are 14 days in two weeks, Trey needs to sell 112 bracelets / 14 days = 8 bracelets each day on average."
"Vanessa wants to buy a dress she saw at the mall, which costs $80, and she already has $20 in savings. Her parents give her $30 every week, but she also spends $10 each weekend at the arcades. How many weeks will she have to wait until she can gather enough money to buy the dress?",3,3,True,"To determine the number of weeks Vanessa needs to gather enough money to buy the dress, we calculate the total amount she saves each week:
- Initial savings: $20
- Weekly allowance from parents: $30
- Weekly expenses at the arcades: $10
The net amount she saves each week is $30 - $10 = $20.
Since she needs $80 - $20 = $60 more to buy the dress, the number of weeks she needs to wait is $60 / $20 = 3 weeks."
