question,example_answer,pred_answer,answer_exact_match,reasoning
"20 birds migrate on a seasonal basis from one lake to another, searching for food. If they fly from lake Jim to lake Disney in one season, which is 50 miles apart, then the next season they fly from lake Disney to lake London, 60 miles apart, calculate the combined distance all of the birds have traveled in the two seasons.",2200,2200,True,"The birds fly 50 miles from lake Jim to lake Disney and then 60 miles from lake Disney to lake London. Therefore, the total distance each bird travels in one season is 50 + 60 = 110 miles. Since there are 20 birds, the combined distance all the birds have traveled in the two seasons is 20 birds * 110 miles/bird = 2200 miles."
"Wendy went to the dentist for a cleaning, two fillings, and a tooth extraction. The dentist charges $70 for a cleaning and $120 for a filling. Wendy’s dentist bill was five times the cost of a filling. What did Wendy pay for the tooth extraction?",290,290,True,"Let's denote the cost of the tooth extraction as x. Wendy's bill was five times the cost of a filling, which is $120. Therefore, the total cost of the cleaning, two fillings, and the tooth extraction is:
$70 (cleaning) + $120 (filling) + $120 (filling) + x (tooth extraction) = 5 * $120
$70 + 2 * $120 + x = $600
$70 + $240 + x = $600
$310 + x = $600
x = $600 - $310
x = $290

Therefore, Wendy paid $290 for the tooth extraction."
"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?",34,34,True,"Initially, Karen is carrying 20 pounds of water, 10 pounds of food, and 20 pounds of gear, totaling 20 + 10 + 20 = 50 pounds. After 6 hours, she would have consumed 2 pounds/hour * 6 hours = 12 pounds of water. She would have also consumed 1/3 * 2 pounds/hour * 6 hours = 4 pounds of food. Therefore, the weight she is carrying after 6 hours is 50 pounds - 12 pounds (water) - 4 pounds (food) = 34 pounds."
Rita is reading a five-chapter book with 95 pages. Each chapter has three pages more than the previous one. How many pages does the first chapter have?,13,13,True,"Let's denote the number of pages in the first chapter as x. The second chapter will have x + 3 pages, the third chapter will have x + 6 pages, the fourth chapter will have x + 9 pages, and the fifth chapter will have x + 12 pages. The total number of pages in the book is the sum of the pages in all chapters, which is:
x + (x + 3) + (x + 6) + (x + 9) + (x + 12) = 5x + 30
Given that the total number of pages in the book is 95, we can set up the equation:
5x + 30 = 95
Solving for x:
5x = 65
x = 13"
Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects.  Trisha collects 4 dozen less than Benjamin.  How many dozen eggs do the three collect total?,26,26,True,"Benjamin collects 6 dozen eggs a day. Carla collects 3 times the number of eggs that Benjamin collects, which is 3 * 6 = 18 dozen eggs. Trisha collects 4 dozen less than Benjamin, which is 6 - 4 = 2 dozen eggs. Therefore, the total number of dozen eggs collected by the three is 6 + 18 + 2 = 26 dozen eggs."
"Roy spends 2 hours on sports activities in school every day. He goes to school 5 days a week. If he missed 2 days within a week, how many hours did he spend on sports in school that week?",6,6,True,"Roy spends 2 hours on sports activities in school every day, and he goes to school 5 days a week. If he missed 2 days within a week, he would have attended school for 5 - 2 = 3 days. Therefore, the total hours he spent on sports in school that week is:
3 days * 2 hours/day = 6 hours"
"Cameron is printing her thesis in the school library and has 400 A4 pieces of paper. If 40% of the papers did not print out up to her desired quality and she separated them as invalid, calculate the total number of valid documents.",240,240,True,"If 40% of the papers did not print out up to Cameron's desired quality, then the number of invalid documents is 40% of 400, which is 0.40 * 400 = 160. The total number of valid documents is the remaining 60% of the papers, which is 60% of 400, or 0.60 * 400 = 240."
Burt spent $2.00 on a packet of basil seeds and $8.00 on potting soil.  The packet of seeds yielded 20 basil plants.  He sells each basil plant for $5.00 at the local farmer's market.  What is the net profit from his basil plants?,90,90.00,False,"Burt spent $2.00 on basil seeds and $8.00 on potting soil, totaling $2.00 + $8.00 = $10.00. From the seeds, he yielded 20 basil plants, which he sells for $5.00 each. The total revenue from selling the basil plants is 20 plants * $5.00/plant = $100.00. To find the net profit, we subtract the total cost from the total revenue: $100.00 - $10.00 = $90.00."
Martha's cat catches 3 rats and 7 birds. Cara's cat catches 3 less than five times as many animals as Martha's cat. How many animals does Cara's cat catch?,47,47,True,"Martha's cat catches a total of 3 + 7 = 10 animals.
Five times as many animals as Martha's cat catches is 5 * 10 = 50 animals.
Cara's cat catches 3 less than five times as many animals as Martha's cat, which is 50 - 3 = 47 animals."
"Trey is raising money for a new bike that costs $112. He plans to spend the next two weeks selling bracelets for $1 each. On average, how many bracelets does he need to sell each day?",8,8,True,"To raise $112 in two weeks by selling bracelets for $1 each, Trey needs to sell a total of $112 / $1 = 112 bracelets. Since there are 14 days in two weeks, Trey needs to sell 112 bracelets / 14 days = 8 bracelets per day on average."
"Vanessa wants to buy a dress she saw at the mall, which costs $80, and she already has $20 in savings. Her parents give her $30 every week, but she also spends $10 each weekend at the arcades. How many weeks will she have to wait until she can gather enough money to buy the dress?",3,3,True,"Vanessa needs $80 for the dress. She already has $20 in savings, so she needs an additional $80 - $20 = $60. 
Each week she receives $30 from her parents but spends $10 at the arcades, leaving her with a net gain of $30 - $10 = $20 per week. 
To gather the remaining $60 needed for the dress, she will need $60 / $20 = 3 weeks."
"There are 30 students in the general study hall and twice as many students in the biology hall as there are in the general study hall. If the number of students in the math hall is 3/5 times as many as the combined total number of students in the general study hall and the biology hall combined,  calculate the total number of students in all the halls combined.",144,144,True,"Let's denote:
- Number of students in the general study hall as G
- Number of students in the biology hall as B
- Number of students in the math hall as M

Given:
- G = 30
- B = 2G = 2 * 30 = 60
- M = 3/5 * (G + B) = 3/5 * (30 + 60) = 3/5 * 90 = 54

The total number of students in all the halls combined is G + B + M = 30 + 60 + 54 = 144."
"Carlos and Diego are racing around the block. Carlos runs around the entire block in 3 minutes. Diego runs around half the block in 2.5 minutes and then is tripped by a dog and can't finish. Assuming he kept up the same speed the entire race, what would've been the average time in seconds for the racers?",240,240,True,"Since Carlos runs around the entire block in 3 minutes, his average time per lap is 3 minutes. Diego runs around half the block in 2.5 minutes, which means he would take 5 minutes to complete a full lap. Therefore, the average time for both racers would be the average of their individual times: (3 minutes + 5 minutes) / 2 = 4 minutes. Converting 4 minutes to seconds gives 4 * 60 = 240 seconds."
"A craft store makes a third of its sales in the fabric section, a quarter of its sales in the jewelry section, and the rest in the stationery section. They made 36 sales today. How many sales were in the stationery section?",15,15,True,"If a third of the sales are in the fabric section and a quarter in the jewelry section, then the remaining sales are in the stationery section. To find the number of sales in the stationery section, we first calculate the total sales in the fabric and jewelry sections: 
Fabric sales = 36 * 1/3 = 12
Jewelry sales = 36 * 1/4 = 9
Total sales in fabric and jewelry sections = 12 + 9 = 21
Therefore, the number of sales in the stationery section is the difference between the total sales and the sales in fabric and jewelry sections: 
Stationery sales = 36 - 21 = 15"
"Mark bought 2 pounds of tomatoes for $5 per pound and 5 pounds of apples, at $6 per pound. How much did he spend in total?",40,40,True,"Mark bought 2 pounds of tomatoes at $5 per pound, which amounts to 2 * $5 = $10. He also bought 5 pounds of apples at $6 per pound, which amounts to 5 * $6 = $30. Therefore, the total amount he spent is $10 + $30 = $40."
"There is 80 mg of caffeine in a cup of coffee. Lisa does not want to drink more than 200 mg of caffeine per day. If she drinks three cups of coffee, how many milligrams of coffee did Lisa drink over her goal?",40,40,True,"If there is 80 mg of caffeine in a cup of coffee, then three cups would contain 3 * 80 = 240 mg of caffeine. Since Lisa does not want to drink more than 200 mg of caffeine per day, she exceeded her goal by 240 - 200 = 40 mg."
"A married couple opened a savings account. The wife committed to saving $100 every week while the husband committed to saving $225 every month. After 4 months of savings, they decided to invest half of their money in buying stocks. Each share of stocks costs $50. How many shares of stocks can they buy?",25,25,True,"The wife saves $100 every week, so after 4 months (16 weeks), she would have saved 16 weeks * $100/week = $1600. The husband saves $225 every month, so after 4 months, he would have saved 4 months * $225/month = $900. Together, they have $1600 + $900 = $2500 to invest in stocks. Half of this amount is $2500 / 2 = $1250. Each share of stocks costs $50, so they can buy $1250 / $50 = 25 shares of stocks."
Ms. Hatcher teaches 20 third-graders and a number of fourth-graders that is twice the number of third-graders. Her co-teacher asked her to substitute for her fifth-grade class that has half as many students as the number of third-graders. How many students did Ms. Hatcher teach for the day?,70,70,True,"Ms. Hatcher teaches 20 third-graders. The number of fourth-graders she teaches is twice the number of third-graders, so she teaches 20 * 2 = 40 fourth-graders. The fifth-grade class has half as many students as the number of third-graders, which is 20 / 2 = 10 fifth-graders. Therefore, Ms. Hatcher taught a total of 20 (third-graders) + 40 (fourth-graders) + 10 (fifth-graders) = 70 students for the day."
Erika and her 3 siblings are drawing with chalk outside. Another 3 friends join them and ask if they can help with the drawing. Erika loses 2 pieces of chalk as they are counting and the group realizes there isn't enough chalk for everyone. Erika’s mom brings out another 12 pieces of chalk for them to share and there is now enough chalk for everyone to have 3 pieces each. How many pieces of chalk did Erika and her siblings originally have?,11,11,True,"Initially, Erika and her 3 siblings had x pieces of chalk. When the 3 friends joined, there were a total of 4 siblings + 3 friends = 7 children. After losing 2 pieces of chalk, they had x - 2 pieces left. When Erika's mom brought out 12 more pieces, the total number of pieces became x - 2 + 12 = x + 10. Since each child now has 3 pieces, the total number of pieces of chalk is 7 children * 3 pieces each = 21 pieces. Therefore, x + 10 = 21, which means x = 11."
"Bob, Tom, Sally, and Jerry had dinner at their favorite pizzeria. They decide to share 2 pizzas. Bob ate half of a pizza on his own. Tom ate one-third of a pizza. Sally wasn't very hungry and only ate one-sixth of a pizza, and Jerry ate a quarter of a pizza. If each pizza is cut into 12 slices, how many slices were left over?",9,9,True,"Each pizza is cut into 12 slices, so a whole pizza has 12 slices. Bob ate half of a pizza (6 slices), Tom ate one-third of a pizza (4 slices), Sally ate one-sixth of a pizza (2 slices), and Jerry ate a quarter of a pizza (3 slices). The total slices eaten are 6 + 4 + 2 + 3 = 15 slices. Since they shared 2 pizzas, the total number of slices in 2 pizzas is 2 * 12 = 24 slices. Therefore, the number of slices left over is 24 - 15 = 9 slices."
"Rica's group won in a dance competition. She got 3/8 of the prize money. From Rica's prize money, she spent 1/5 of it and is now left with $300. How much was the prize money that her group won?",1000,800,False,"Let's denote the total prize money as P. Rica received 3/8 of the prize money, which is (3/8) * P. After spending 1/5 of her prize money, she is left with $300. This means that (3/5) * (3/8) * P = $300. Solving for P, we get P = $300 / ((3/5) * (3/8)) = $800."
"Zilla spent 7% of her monthly earnings on rent, half of it on her other monthly expenses, and put the rest in her savings. If she spent $133 on her rent, how much does she deposit into her savings account in a month?",817,817,True,"If Zilla spent 7% of her monthly earnings on rent and the rent amount is $133, then her total monthly earnings can be calculated as follows: 
Total monthly earnings = Rent amount / (Percentage spent on rent / 100) = $133 / (7/100) = $133 / 0.07 = $1900.

Zilla spent half of her monthly earnings on other expenses, which is 50% of $1900 = $950. Therefore, the amount she deposits into her savings account is the remaining balance after paying for rent and other expenses:
Savings = Total monthly earnings - Rent - Other expenses = $1900 - $133 - $950 = $817."
"Jasmine gets off of work at 4:00 pm.  After that, it will take her 30 minutes to commute home, 30 minutes to grocery shop, 10 minutes to pick up the dry cleaning, 20 minutes to pick up the dog from the groomers and 90 minutes to cook dinner when she returns home.  What time will she eat dinner?",7,7:00 pm,False,"After Jasmine gets off work at 4:00 pm, she has the following activities:
- 30 minutes commute home
- 30 minutes grocery shopping
- 10 minutes picking up dry cleaning
- 20 minutes picking up the dog
- 90 minutes cooking dinner

Adding up the time for all these activities:
30 + 30 + 10 + 20 + 90 = 180 minutes

Since there are 60 minutes in an hour, 180 minutes is equal to 3 hours. Therefore, Jasmine will eat dinner at 4:00 pm + 3 hours = 7:00 pm."
"It takes Jason 30 minutes to cut 1 lawn in his neighborhood.  If he cuts 8 yards on both Saturday and Sunday, how many hours does he spend cutting grass?",8,8,True,"If Jason cuts 8 lawns on both Saturday and Sunday, he cuts a total of 8 lawns + 8 lawns = 16 lawns. Since it takes him 30 minutes to cut 1 lawn, cutting 16 lawns would take him 16 lawns * 30 minutes/lawn = 480 minutes. Converting this to hours, we have 480 minutes / 60 minutes/hour = 8 hours."
